Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.012686,0.00022604,0.057416,0,0,0,2.587,0.00035704,-4.5008E-07,-8.2245E-06,0.00081118,-1.0048E-06,0.0010817,0,0,0,0,0,0,package://description2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://description2/meshes/base_link.STL,,Deck-1;camera_top^Rc_Car-1;Top_Cover^Rc_Car-1;camera_mount^Rc_Car-2;SideBumpers-1;middle-1;fan40.step-1;Zed_Camera-1/Zed_Mount^Zed_Camera-1;Agx_Xavier-1/GALEN_FAN_SINK_COVER_ASSEMBLY_ASM.step-1/GALEN_METAL_BASE_COVER.step-1;Agx_Xavier-1/GALEN_FAN_SINK_COVER_ASSEMBLY_ASM.step-1/GALEN_HEATSINK.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
camera,0.0090454,0.0014948,0.013317,0,0,0,0.0629,7.2944E-05,-9.8132E-07,-9.1261E-10,5.5471E-06,-6.0468E-10,7.2837E-05,0,0,0,0,0,0,package://description2/meshes/camera.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://description2/meshes/camera.STL,,Zed_Camera-1/ZEDM.step-2/ZED M STEP.step-1,Origin_camera,,j_camera,fixed,0.0814,0,0.11015,0,0.17453,0,base_link,0,0,0,,,,,,,,,,,,
steering_f_r,-0.0026667,-0.0012862,1.2842E-08,0,0,0,0.004,3.0117E-08,1.0965E-08,2.5868E-13,5.6537E-08,1.4459E-14,4.808E-08,0,0,0,0,0,0,package://description2/meshes/steering_f_r.STL,1,1,1,1,0,0,0,0,0,0,package://description2/meshes/steering_f_r.STL,,front_seat-1,Origin_steering_f_r,Axis_steering_f_r,j_steering_f_r,revolute,0.1135,-0.07475,0,0,-0.087266,0,base_link,0,0,-1,0,0,-1,1,,,,,,,,
tire_f_r,1.3878E-17,-0.013779,2.7756E-17,0,0,0,0.042,4.0273E-05,-3.4713E-21,3.4439E-25,7.1503E-05,1.0935E-24,4.0273E-05,0,0,0,0,0,0,package://description2/meshes/tire_f_r.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://description2/meshes/tire_f_r.STL,,tire-2,Origin_tire_f_r,Axis_tire_f_r,j_tire_f_r,continuous,0,0,0,0,0.0872664625997168,0,steering_f_r,0,-1,0,,,,,,,,,,,,
tire_r_r,1.3878E-17,-0.013779,0,0,0,0,0.042,4.0273E-05,1.0933E-21,8.6257E-25,7.1503E-05,1.2178E-24,4.0273E-05,0,0,0,0,0,0,package://description2/meshes/tire_r_r.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://description2/meshes/tire_r_r.STL,,tire-3,Origin_tire_r_r,Axis_tire_r_r,j_tire_r_r,continuous,-0.1135,-0.07475,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
steering_f_l,-0.0026667,0.0012862,-6.1313E-08,0,0,0,0.004,3.0116E-08,-1.0965E-08,-1.6671E-13,5.6537E-08,-1.3855E-13,4.808E-08,0,0,0,0,0,0,package://description2/meshes/steering_f_l.STL,1,1,1,1,0,0,0,0,0,0,package://description2/meshes/steering_f_l.STL,,front_seat-2,Origin_steering_f_l,Axis_steering_f_l,j_steering_f_l,revolute,0.1135,0.07475,0,0,-0.0872664625997165,0,base_link,0,0,-1,0,0,-1,1,,,,,,,,
tire_f_l,0,0.013779,0,0,0,0,0.042,4.0273E-05,-6.6522E-21,-6.0509E-25,7.1503E-05,-2.0239E-22,4.0273E-05,0,0,0,0,0,0,package://description2/meshes/tire_f_l.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://description2/meshes/tire_f_l.STL,,tire-4,Origin_tire_f_l,Axis_tire_f_l,j_tire_f_l,continuous,0,0,0,0,0.087266,0,steering_f_l,0,1,0,,,,,,,,,,,,
tire_r_l,-1.3878E-17,0.013779,1.3878E-17,0,0,0,0.042,4.0273E-05,-7.2676E-22,8.2395E-25,7.1503E-05,-9.9948E-25,4.0273E-05,0,0,0,0,0,0,package://description2/meshes/tire_r_l.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://description2/meshes/tire_r_l.STL,,tire-5,Origin_tire_r_l,Axis_tire_r_l,j_tire_r_l,continuous,-0.1135,0.07475,0,0,0,0,base_link,0,1,0,,,,,,,,,,,,
front_axle,-0.093045,-0.00028352,0.052162,0,0,0,0,0.0034402,-8.3857E-06,-0.00085591,0.0057556,-1.6835E-05,0.0063215,0,0,0,0,0,0,package://description2/meshes/front_axle.STL,1,1,1,1,0,0,0,0,0,0,package://description2/meshes/front_axle.STL,,,Origin_front_axle,front_axle,j_front_axle,fixed,0.1135,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
rear_axle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://description2/meshes/rear_axle.STL,1,1,1,1,0,0,0,0,0,0,package://description2/meshes/rear_axle.STL,,,Origin_rear_axle,rear_axle,j_rear_axle,fixed,-0.1135,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
